Models,Precision,Recall,F1_score
human,0.7836538461538461,0.6961538461538462,0.7222527472527472
qwen3_14B_comprehensive_1,0.3894230769230769,0.3849358974358974,0.37596153846153846
qwen3_14B_comprehensive_2,0.39455128205128204,0.3913461538461539,0.38983516483516484
qwen3_14B_comprehensive_3,0.36620879120879124,0.36826923076923074,0.35876068376068376
qwen3_14B_comprehensive_4,0.28717948717948716,0.3,0.28695054945054943
qwen3_14B_comprehensive_5,0.36217948717948717,0.3490384615384615,0.3482600732600733
qwen3_14B_targeted_1,0.8394230769230769,0.8474358974358975,0.8267399267399267
qwen3_14B_targeted_2,0.8102564102564103,0.8384615384615385,0.811008436008436
qwen3_14B_targeted_3,0.8346153846153845,0.8442307692307692,0.8199633699633699
qwen3_14B_targeted_4,0.8063186813186813,0.8304487179487179,0.798992673992674
qwen3_14B_targeted_5,0.7967948717948717,0.8163461538461539,0.7913308913308914
qwen3_14B_targeted_6,0.8217948717948718,0.8467948717948718,0.8150641025641026
qwen3_14B_targeted_retrained_1,0.8189102564102565,0.8288461538461539,0.8118631368631368
qwen3_14B_targeted_retrained_2,0.8657051282051282,0.8817307692307692,0.8558191808191808
qwen3_14B_targeted_retrained_3,0.789514652014652,0.8096153846153846,0.7827172827172828
qwen3_14B_targeted_retrained_4,0.8715659340659341,0.8983974358974359,0.8732142857142857
qwen3_14B_targeted_retrained_5,0.8247710622710623,0.8330128205128206,0.8149475524475525
qwen3_14B_targeted_sft_1,0.7913461538461538,0.7641025641025642,0.7673382173382173
qwen3_14B_targeted_sft_2,0.7788461538461539,0.7471153846153846,0.7501831501831501
qwen3_14B_targeted_sft_3,0.7916666666666666,0.739102564102564,0.7528846153846154
qwen3_14B_targeted_sft_4,0.8125,0.7432692307692308,0.7639194139194139
qwen3_14B_targeted_sft_5,0.7916666666666666,0.7439102564102563,0.754532967032967
qwen3_32B_comprehensive_1,0.38461538461538464,0.38269230769230766,0.37463369963369964
qwen3_32B_comprehensive_2,0.5365384615384615,0.5487179487179488,0.5335470085470085
qwen3_32B_comprehensive_3,0.4266025641025641,0.45705128205128204,0.433974358974359
qwen3_32B_comprehensive_4,0.4791666666666667,0.5355769230769231,0.4972569097569097
qwen3_32B_comprehensive_5,0.49198717948717946,0.5099358974358974,0.49464285714285716
