Models,Precision,Recall,F1_score
ds_r1_comprehensive_strict,0.719551282051282,0.7166666666666667,0.7138278388278388
gemini_2_5_flash_comprehensive_strict,0.7948717948717949,0.7897435897435898,0.7865384615384615
gemini_2_5_pro_comprehensive_strict,0.678525641025641,0.7262820512820513,0.6964785214785215
human,0.5192307692307693,0.5192307692307693,0.5192307692307693
human_strict,0.7644230769230769,0.676923076923077,0.703021978021978
o1_comprehensive_strict,0.6810897435897435,0.6317307692307692,0.6461538461538462
qwen3_14B_targeted_sft_1_strict,0.719551282051282,0.6897435897435897,0.6982142857142857
qwen3_32B_targeted_sft_1_strict,0.7644230769230769,0.7592948717948718,0.7507173382173382
qwen3_4B_targeted_sft_1_strict,0.6897435897435897,0.675,0.6775335775335776
qwen3_8B_targeted_sft_1_strict,0.5788461538461539,0.5756410256410256,0.5769230769230769
qwq32B_comprehensive_modified_sft_1_strict,0.8076923076923077,0.7522435897435897,0.7712454212454213
