Models,Precision,Recall,F1_score
human,0.7833333333333333,0.6351351351351351,0.7014925373134329
qwen3_14B_comprehensive_1,0.5555555555555556,0.40540540540540543,0.46875
qwen3_14B_comprehensive_2,0.5818181818181818,0.43243243243243246,0.49612403100775193
qwen3_14B_comprehensive_3,0.42857142857142855,0.36486486486486486,0.39416058394160586
qwen3_14B_comprehensive_4,0.4126984126984127,0.35135135135135137,0.3795620437956204
qwen3_14B_comprehensive_5,0.47368421052631576,0.36486486486486486,0.4122137404580153
qwen3_14B_targeted_1,0.759493670886076,0.8108108108108109,0.7843137254901961
qwen3_14B_targeted_2,0.725,0.7837837837837838,0.7532467532467533
qwen3_14B_targeted_3,0.7532467532467533,0.7837837837837838,0.7682119205298014
qwen3_14B_targeted_4,0.7108433734939759,0.7972972972972973,0.751592356687898
qwen3_14B_targeted_5,0.6790123456790124,0.7432432432432432,0.7096774193548386
qwen3_14B_targeted_6,0.7341772151898734,0.7837837837837838,0.7581699346405228
qwen3_14B_targeted_retrained_1,0.725,0.7837837837837838,0.7532467532467533
qwen3_14B_targeted_retrained_2,0.775,0.8378378378378378,0.8051948051948051
qwen3_14B_targeted_retrained_3,0.6951219512195121,0.7702702702702703,0.7307692307692307
qwen3_14B_targeted_retrained_4,0.7710843373493976,0.8648648648648649,0.8152866242038217
qwen3_14B_targeted_retrained_5,0.7341772151898734,0.7837837837837838,0.7581699346405228
qwen3_14B_targeted_sft_1,0.7571428571428571,0.7162162162162162,0.736111111111111
qwen3_14B_targeted_sft_2,0.75,0.6891891891891891,0.7183098591549296
qwen3_14B_targeted_sft_3,0.7741935483870968,0.6486486486486487,0.7058823529411764
qwen3_14B_targeted_sft_4,0.7936507936507936,0.6756756756756757,0.72992700729927
qwen3_14B_targeted_sft_5,0.7575757575757576,0.6756756756756757,0.7142857142857142
qwen3_32B_comprehensive_1,0.4,0.40540540540540543,0.4026845637583893
qwen3_32B_comprehensive_2,0.48717948717948717,0.5135135135135135,0.5
qwen3_32B_comprehensive_3,0.4444444444444444,0.4864864864864865,0.4645161290322581
qwen3_32B_comprehensive_4,0.47191011235955055,0.5675675675675675,0.5153374233128833
qwen3_32B_comprehensive_5,0.43820224719101125,0.527027027027027,0.4785276073619632
qwen3_32B_targeted_1,0.6263736263736264,0.7702702702702703,0.690909090909091
qwen3_32B_targeted_2,0.6363636363636364,0.7567567567567568,0.691358024691358
qwen3_32B_targeted_3,0.5959595959595959,0.7972972972972973,0.6820809248554912
qwen3_32B_targeted_4,0.5869565217391305,0.7297297297297297,0.6506024096385542
qwen3_32B_targeted_5,0.6276595744680851,0.7972972972972973,0.7023809523809523
qwen3_32B_targeted_sft_1,0.7605633802816901,0.7297297297297297,0.7448275862068966
qwen3_32B_targeted_sft_2,0.7671232876712328,0.7567567567567568,0.761904761904762
qwen3_32B_targeted_sft_3,0.7432432432432432,0.7432432432432432,0.7432432432432431
qwen3_32B_targeted_sft_4,0.8115942028985508,0.7567567567567568,0.7832167832167832
qwen3_32B_targeted_sft_5,0.7464788732394366,0.7162162162162162,0.7310344827586208
qwen3_4B_comprehensive_1,0.29508196721311475,0.24324324324324326,0.2666666666666666
