Models,Precision,Recall,F1_score
ds_r1_comprehensive_strict,0.6712328767123288,0.6621621621621622,0.6666666666666666
gemini_2_5_flash_comprehensive_strict,0.7012987012987013,0.7297297297297297,0.7152317880794701
gemini_2_5_pro_comprehensive_strict,0.5977011494252874,0.7027027027027027,0.6459627329192548
human_strict,0.7666666666666667,0.6216216216216216,0.6865671641791045
o1_comprehensive_strict,0.8113207547169812,0.581081081081081,0.6771653543307086
qwen3_14B_targeted_sft_1_strict,0.6984126984126984,0.5945945945945946,0.6423357664233577
qwen3_32B_targeted_sft_1_strict,0.6712328767123288,0.6621621621621622,0.6666666666666666
qwen3_4B_targeted_sft_1_strict,0.6428571428571429,0.6081081081081081,0.625
qwen3_8B_targeted_sft_1_strict,0.5789473684210527,0.44594594594594594,0.5038167938931297
qwq32B_comprehensive_modified_sft_1_strict,0.7741935483870968,0.6486486486486487,0.7058823529411764
